% Model:              2-D model without Neumann boundary.mph
% Version:            COMSOL 5.2.1.152
% Date:               Dec 12 2018, 15:34
% Dimension:          2
% Nodes:              218
% Expressions:        1
% Description:        温度
% Length unit:        m
% r                       z                        T (K)
0.02                      0                        293.15
0.028466225178970257      0                        293.15
0.025531304479688027      0.005382951920663119     297.8724064360992
0.02                      0.008                    300.34065642301204
0.03740717422612565       0                        293.15
0.03300238296654072       0.006944058383538907     298.84535570566237
0.02                      0.016                    308.1072518764057
0.02623675529648113       0.011970743295442662     303.84281348477003
0.04634900647953627       0                        293.15
0.04222984372461838       0.006681242309493672     297.8554391190318
0.02                      0.024000000000000004     317.14188292306835
0.026419742192930633      0.019684884692317377     311.58334058704355
0.05529083873294689       0                        293.15
0.05096023952370876       0.006794644691059691     297.067964273172
0.06423267098635752       0                        293.15
0.05959892024024902       0.0070275553261748055    296.3108151277433
0.02                      0.03200000000000001      328.3961287955162
0.026579274462479614      0.027373435489476093     320.72123726793683
0.07317450323976814       0                        293.15
0.06851169094152765       0.007201721319810249     295.5150399353601
0.08211633549317876       0                        293.15
0.07754735327966185       0.007251951040529932     294.73846784339315
0.02                      0.04                     343.25120315174024
0.026143345089436824      0.03388057831935191      330.44591783980843
0.029815132917010326      0.04                     339.72415467116497
0.09105816774658938       0                        293.15
0.08619158532316694       0.006442294353334747     293.96802528617394
0.1                       0                        293.15
0.09381570677583313       0.005889532667657809     293.46981695490905
0.04                      0.04                     329.8075368580702
0.034021334406869705      0.031577136714635995     323.4047647959173
0.1                       0.00913448514434536      293.15
0.04                      0.04857142857142853      339.2069868209254
0.04765731612162651       0.04467738449239267      324.7842764306328
0.1                       0.01849833818115786      293.15
0.0918287808094094        0.013870883840608937     294.151442168031
0.04                      0.057142857142857106     345.1000515545372
0.0473852553648085        0.052991534161061206     330.166227152673
0.1                       0.027862276693674592     293.15
0.0925429000924655        0.023599799850356578     294.67659469106223
0.04                      0.0657142857142857       347.9383476527566
0.04733607423861993       0.06142647144360406      333.4045047377101
0.1                       0.03722621520619133      293.15
0.09242862560993231       0.032624060405982425     295.2428825378886
0.04                      0.07428571428571427      347.9382353682827
0.04729604663725687       0.06992909960537234      334.54804690190826
0.02                      0.10800000000000001      328.39652758666807
0.02                      0.1                      343.25014552489324
0.02589526454165581       0.1060273923693183       330.6798783808149
0.02                      0.11600000000000002      317.1419682045648
0.026448341977635386      0.11242981080229009      321.01401788218146
0.1                       0.04659015371870806      293.15
0.09227134310588074       0.04190277432449405      295.78760908329895
0.04                      0.08285714285714287      345.09922278044286
0.047261920614307514      0.07843484209928403      333.5560769333719
0.02981513291701033       0.1                      339.7220115627187
0.04000000000000001       0.09142857142857143      339.2053920445511
0.04728002873512781       0.08682449602901204      330.40925473016847
0.02                      0.12400000000000003      308.1073338154605
0.026347937325347178      0.12005977210754436      311.8710269899797
0.1                       0.05595409223122479      293.15
0.09222127121754822       0.05126311875593795      296.2040937494716
0.04                      0.1                      329.8056068050652
0.033719493589874305      0.10797971786253363      324.16201469318315
0.04761652546742417       0.09505553335881994      325.01893616003423
0.02                      0.132                    300.34070836941373
0.026274009746413238      0.12780281203846258      304.05395898520436
0.02                      0.14                     293.15
0.02552647077256105       0.13443501055351353      298.0344225661821
0.1                       0.06531803074374153      293.15
0.09226806328722877       0.06062562855950456      296.4386980084518
0.02846622517897028       0.14                     293.15
0.1                       0.07468196925625825      293.15
0.09230665154095374       0.06995380652417048      296.50862494399627
0.03740717422612561       0.14                     293.15
0.03316088544720524       0.1326113750517373       299.2043319033659
0.1                       0.08404590776877499      293.15
0.09230338695249163       0.07928837711858307      296.4245062252135
0.04634900647953623       0.14                     293.15
0.042489677281501645      0.13309895213574943      297.9870434202446
0.1                       0.09340984628129172      293.15
0.09221612026755437       0.08862184795383075      296.21028203359305
0.05529083873294684       0.14                     293.15
0.05099127034729223       0.13309491952451746      297.12895811339325
0.1                       0.10277378479380846      293.15
0.09212224419236452       0.09798704430010143      295.8465547665459
0.06423267098635746       0.14                     293.15
0.05953225773087313       0.13295153619078848      296.32693840398775
0.1                       0.11213772330632518      293.15
0.0922207939686331        0.10736998121765742      295.3034884400317
0.07317450323976807       0.14                     293.15
0.06818721233047688       0.13280066368371687      295.5444760078642
0.1                       0.12150166181884191      293.15
0.09266868069432          0.11667059125017347      294.63333301434756
0.08211633549317868       0.14                     293.15
0.07673786312955425       0.1326134536515025       294.836022444486
0.1                       0.13086551485565462      293.15
0.09328265035029558       0.1258116917819782       293.98457993881857
0.0910581677465893        0.14                     293.15
0.08607119597878404       0.131806535387045        294.1995506341204
0.1                       0.14                     293.15
0.09408240281513378       0.13369674840493556      293.4768747570476
0.03934293675601625       0.013572068383360716     303.452722439996
0.0324671021397274        0.015812564776136556     306.6853053579841
0.047079120778936064      0.013364163926743583     301.7454346982707
0.03764324013191981       0.019392869938046134     308.7860110168886
0.0436359307943551        0.01923751096620543      306.8509027080263
0.03280627069769545       0.023146580766105707     313.9188452643219
0.05521370718596597       0.013694906583946086     300.24130055757456
0.05091904133126097       0.019841077953521125     304.9238435918794
0.03970693085224551       0.025038592986022068     313.27486077699336
0.0468153938683845        0.025462777784145844     310.41211427578895
0.06385452605080358       0.014295734003705896     298.74779249131524
0.05888270936761766       0.020840375681512705     302.87869406277065
0.05373827941953266       0.02645513934984114      307.8610585796742
0.04309351522268157       0.03160362358884856      317.69176617916327
0.049516922573251396      0.030711696436335176     312.85880739018734
0.07286013393334129       0.014684341410816669     297.16982822356914
0.0815828220595958        0.014052430683443997     295.5957843830158
