% Model:              2-D model without Neumann boundary.mph
% Version:            COMSOL 5.2.1.152
% Date:               Feb 27 2019, 18:15
% Dimension:          2
% Nodes:              218
% Expressions:        1
% Description:        温度
% Length unit:        m
% r                       z                        T (K)
0.02                      0                        273.15
0.028466225178970257      0                        273.15
0.025531304479688027      0.005382951920663119     277.8724064360992
0.02                      0.008                    280.3406564230121
0.03740717422612565       0                        273.15
0.03300238296654072       0.006944058383538907     278.84535570566237
0.02                      0.016                    288.10725187640577
0.02623675529648113       0.011970743295442662     283.84281348477003
0.04634900647953627       0                        273.15
0.04222984372461838       0.006681242309493672     277.8554391190318
0.02                      0.024000000000000004     297.14188292306835
0.026419742192930633      0.019684884692317377     291.58334058704355
0.05529083873294689       0                        273.15
0.05096023952370876       0.006794644691059691     277.067964273172
0.06423267098635752       0                        273.15
0.05959892024024902       0.0070275553261748055    276.3108151277433
0.02                      0.03200000000000001      308.39612879551623
0.026579274462479614      0.027373435489476093     300.72123726793683
0.07317450323976814       0                        273.15
0.06851169094152765       0.007201721319810249     275.5150399353601
0.08211633549317876       0                        273.15
0.07754735327966185       0.007251951040529932     274.73846784339315
0.02                      0.04                     323.25120315174024
0.026143345089436824      0.03388057831935191      310.4459178398085
0.029815132917010326      0.04                     319.724154671165
0.09105816774658938       0                        273.15
0.08619158532316694       0.006442294353334747     273.96802528617394
0.1                       0                        273.15
0.09381570677583313       0.005889532667657809     273.46981695490905
0.04                      0.04                     309.80753685807025
0.034021334406869705      0.031577136714635995     303.4047647959173
0.1                       0.00913448514434536      273.15
0.04                      0.04857142857142853      319.20698682092547
0.04765731612162651       0.04467738449239267      304.7842764306328
0.1                       0.01849833818115786      273.15
0.0918287808094094        0.013870883840608937     274.151442168031
0.04                      0.057142857142857106     325.10005155453723
0.0473852553648085        0.052991534161061206     310.166227152673
0.1                       0.027862276693674592     273.15
0.0925429000924655        0.023599799850356578     274.67659469106223
0.04                      0.0657142857142857       327.9383476527566
0.04733607423861993       0.06142647144360406      313.4045047377101
0.1                       0.03722621520619133      273.15
0.09242862560993231       0.032624060405982425     275.24288253788853
0.04                      0.07428571428571427      327.9382353682827
0.04729604663725687       0.06992909960537234      314.54804690190826
0.02                      0.10800000000000001      308.39652758666807
0.02                      0.1                      323.25014552489324
0.02589526454165581       0.1060273923693183       310.6798783808149
0.02                      0.11600000000000002      297.1419682045648
0.026448341977635386      0.11242981080229009      301.0140178821814
0.1                       0.04659015371870806      273.15
0.09227134310588074       0.04190277432449405      275.78760908329895
0.04                      0.08285714285714287      325.09922278044286
0.047261920614307514      0.07843484209928403      313.5560769333719
0.02981513291701033       0.1                      319.7220115627187
0.04000000000000001       0.09142857142857143      319.2053920445511
0.04728002873512781       0.08682449602901204      310.40925473016847
0.02                      0.12400000000000003      288.1073338154605
0.026347937325347178      0.12005977210754436      291.8710269899797
0.1                       0.05595409223122479      273.15
0.09222127121754822       0.05126311875593795      276.2040937494716
0.04                      0.1                      309.8056068050652
0.033719493589874305      0.10797971786253363      304.16201469318315
0.04761652546742417       0.09505553335881994      305.01893616003423
0.02                      0.132                    280.3407083694137
0.026274009746413238      0.12780281203846258      284.05395898520425
0.02                      0.14                     273.15
0.02552647077256105       0.13443501055351353      278.03442256618206
0.1                       0.06531803074374153      273.15
0.09226806328722877       0.06062562855950456      276.4386980084517
0.02846622517897028       0.14                     273.15
0.1                       0.07468196925625825      273.15
0.09230665154095374       0.06995380652417048      276.5086249439962
0.03740717422612561       0.14                     273.15
0.03316088544720524       0.1326113750517373       279.2043319033659
0.1                       0.08404590776877499      273.15
0.09230338695249163       0.07928837711858307      276.4245062252135
0.04634900647953623       0.14                     273.15
0.042489677281501645      0.13309895213574943      277.98704342024456
0.1                       0.09340984628129172      273.15
0.09221612026755437       0.08862184795383075      276.21028203359293
0.05529083873294684       0.14                     273.15
0.05099127034729223       0.13309491952451746      277.12895811339325
0.1                       0.10277378479380846      273.15
0.09212224419236452       0.09798704430010143      275.8465547665459
0.06423267098635746       0.14                     273.15
0.05953225773087313       0.13295153619078848      276.32693840398775
0.1                       0.11213772330632518      273.15
0.0922207939686331        0.10736998121765742      275.3034884400317
0.07317450323976807       0.14                     273.15
0.06818721233047688       0.13280066368371687      275.5444760078642
0.1                       0.12150166181884191      273.15
0.09266868069432          0.11667059125017347      274.63333301434756
0.08211633549317868       0.14                     273.15
0.07673786312955425       0.1326134536515025       274.836022444486
0.1                       0.13086551485565462      273.15
0.09328265035029558       0.1258116917819782       273.9845799388186
0.0910581677465893        0.14                     273.15
0.08607119597878404       0.131806535387045        274.1995506341204
0.1                       0.14                     273.15
0.09408240281513378       0.13369674840493556      273.4768747570476
0.03934293675601625       0.013572068383360716     283.452722439996
0.0324671021397274        0.015812564776136556     286.68530535798413
0.047079120778936064      0.013364163926743583     281.7454346982707
0.03764324013191981       0.019392869938046134     288.7860110168886
0.0436359307943551        0.01923751096620543      286.8509027080263
0.03280627069769545       0.023146580766105707     293.9188452643219
0.05521370718596597       0.013694906583946086     280.24130055757456
0.05091904133126097       0.019841077953521125     284.9238435918794
0.03970693085224551       0.025038592986022068     293.2748607769934
0.0468153938683845        0.025462777784145844     290.41211427578895
0.06385452605080358       0.014295734003705896     278.74779249131524
0.05888270936761766       0.020840375681512705     282.87869406277076
0.05373827941953266       0.02645513934984114      287.8610585796742
0.04309351522268157       0.03160362358884856      297.6917661791633
0.049516922573251396      0.030711696436335176     292.85880739018734
0.07286013393334129       0.014684341410816669     277.16982822356925
0.0815828220595958        0.014052430683443997     275.5957843830159
