% Model:              3-D_rect_model.mph
% Version:            COMSOL 5.2.1.152
% Date:               Mar 1 2019, 17:05
% Dimension:          3
% Nodes:              9149
% Expressions:        1
% Description:        温度
% Length unit:        m
% x                       y                        z                        T (K)
0                         0.11111111111111106      0                        284.2611111111111
0                         0.1666666666666667       0                        289.8166666666668
0                         0.14228250476198032      0.04641915457059184      287.37825047619805
0.04592748856532332       0.1378827996179175       0                        286.9382799617919
0                         0.22222222222222213      0                        295.3722222222223
0                         0.19558354239044115      0.04570574172927827      292.70835423904424
0.047799791036657664      0.1944444444444444       0                        292.59444444444466
0.03825856867147593       0.16259231640278612      0.036699567427675446     289.40923164027873
0.06885870764900538       0.13851569151775053      0.02706241602481025      287.001569151775
0                         0.08321036441306301      0.04990901286963485      281.47103644130635
0.024754900263390896      0.10700858925504828      0.05247598199311233      283.8508589255049
0.03754130228424352       0.13256244677522974      0.04430044774232451      286.406244677523
0.03974510125491548       0.0835440167252305       0                        281.50440167252316
0.055311116239247074      0.11101475340866587      0.03823782768240359      284.25147534086676
0.027554548634648908      0.1504414686454738       0.07147075915422603      288.1941468645474
0.03618058400146441       0.0665758032886556       0.03373643865126647      279.80758032886564
0                         0.05555555555555553      0                        278.7055555555555
0                         0.035136160520409306     0.038437467446377695     276.663616052041
0.03513920746213074       0.03843749104252289      0                        276.9937491042523
0                         0                        0                        273.15
0.038437472880922315      0                        0.03513742166148852      273.15000000000003
0.05555555555555558       0                        0                        273.15000000000003
0                         0                        0.05555555555555558      273.15000000000003
0                         0.039719308107653006     0.08353264179981743      277.12193081076526
0.032616066748013324      0.049607589852080705     0.06747287730253294      278.11075898520807
0.08330864426007167       0.049892292051648114     0                        278.1392292051648
0.0867813310337069        0.08567443144859628      0.038399287815291235     281.71744314485954
0.033151829793825145      0.23515761189558956      0.039838063161111444     296.66576118955913
0                         0.2499999999999999       0.04779979103665774      298.15000000000015
0                         0.2777777777777777       0                        300.927777777778
0.04779979103665774       0.2499999999999999       0                        298.1500000000002
0                         0.12725887454422025      0.08777611154318009      285.875887454422
0.08807733178662823       0.11204419158619527      0                        284.35441915861963
0.12716702500293997       0.08776241196232111      0                        281.9262411962322
0.0972980212720447        0.05866786952198101      0.030021403538934906     279.01678695219823
0.10833052857138717       0.11185299130068421      0.025385462825334056     284.33529913006834
0.09233043800596619       0.16583615631763907      0                        289.7336156317641
0.08467681881570595       0.1793476778373459       0.03384728376711205      291.08476778373466
0                         0.1710149211145687       0.08986261727990531      290.251492111457
0                         0.3333333333333332       0                        306.48333333333363
0                         0.30555555555555547      0.04779979103665774      303.7055555555558
0.03258391016481988       0.3010840150940068       0.04105519075413867      303.25840150940087
0.042371086738587145      0.19835379121433816      0.05881833488128098      292.9853791214338
0                         0.2255989791201122       0.09125423061628972      295.7098979120113
0.026021479164204837      0.2704859429210618       0.07041007214272028      300.19859429210646
0                         0.276025911532951        0.09234423846767563      300.7525911532953
0.06630365958765023       0.22031522379117924      0.03187633528556511      295.1815223791181
0.09211285105967931       0.21991225670287023      0                        295.1412256702871
0.04644520885418423       0.30251226388125496      0                        303.40122638812585
0.052042958328409675      0.2649459743091727       0.04847590581776491      299.64459743091743
0.0651678203296397        0.29661247463245805      0.03431059047161961      302.81124746324616
0.04594439437248212       0.35477162301004006      0                        308.6271623010044
0.06564660402924134       0.3333251280583574       0.0349214657740008       306.4825128058363
0                         0.3888888888888889       0                        312.0388888888893
0                         0.3602140825296289       0.04621593461081851      309.1714082529633
0.04148666773577376       0.32039746159248184      0.06064474117600306      305.18974615924867
0.0557537207948995        0.3731596208467843       0.032123121488315816     310.4659620846788
0                         0.4144470246155548       0.039186639004106426     314.59470246155604
0                         0.4444444444444445       0                        317.59444444444495
0                         0.46031064615834527      0.035410018957005324     319.18106461583506
0.02240985667471507       0.4461420118336932       0.026012422986796298     317.76420118336983
0                         0.5                      0                        323.15000000000055
0                         0.08844720709223665      0.11230925452540028      281.9947207092237
0.04507342850807184       0.08700148765147843      0.06200861061293296      281.85014876514794
0.030388461648688588      0.17367953072552028      0.1102336239355399       290.5179530725521
0.05307004666118244       0.11302276118342422      0.08338320849417265      284.45227611834247
0.03829266852530245       0.12966399358355388      0.12584624487254306      286.1163993583556
0                         0.3318464097645028       0.09246215921943943      306.3346409764507
0.09210707712032275       0.2716839275285242       0                        300.3183927528526
0.08901781956220113       0.2713375465349373       0.03309346287859239      300.28375465349393
0                         0.04565943884198866      0.1379578836867698       277.71594388419896
0                         0.09254833088079538      0.1676397441832642       282.4048330880796
0.03973682746990565       0.06613665552851351      0.16308685260947356      279.76366555285136
0.0547021395489133        0.029747935798254195     0.055293846819494855     276.1247935798255
0.11111111111111113       0                        0                        273.15000000000003
0.09741005138202899       0.033721723496156965     0.04988210565698216      276.52217234961574
0.08353270448004012       0                        0.0397214042360946       273.15000000000003
0.0471556227319815        0.06909945114136869      0.10282622561049695      280.05994511413695
0                         0                        0.11111111111111113      273.15000000000003
0.04671985823802783       0.03454972557068434      0.1226000116066667       276.6049725570684
0.04990681832267775       0                        0.08321174000599392      273.15000000000003
0.1421926922948856        0.046373444713248446     0                        277.78734447132496
0.13963654930772554       0.03683518249357196      0.03774698170394165      276.8335182493573
0.14739749570833596       0.07083681550570249      0.03591937446256022      280.2336815505704
0.16666666666666669       0                        0                        273.15000000000003
0.1379592621268283        0                        0.045655789020876865     273.15000000000003
0                         0                        0.16666666666666669      273.15000000000003
0.04628409374407418       0                        0.1423737976028364       273.15000000000003
0.0424037640693214        0.23589249112901314      0.07750345059370996      296.73924911290146
